==== START logs for container coredns of pod kube-system/coredns-66bc5c9577-2d4h5 ====
maxprocs: Leaving GOMAXPROCS=16: CPU quota undefined
.:53
[INFO] plugin/reload: Running configuration SHA512 = e7e8a6c4578bf29b9f453cb54ade3fb14671793481527b7435e35119b25e84eb3a79242b1f470199f8605ace441674db8f1b6715b77448c20dde63e2dc5d2169
CoreDNS-1.12.1
linux/amd64, go1.24.1, 707c7c1
[INFO] 127.0.0.1:57447 - 23139 "HINFO IN 6347952002162788379.5851613343106841059. udp 57 false 512" NXDOMAIN qr,rd,ra 57 0.469539789s
[INFO] 10.244.0.19:52182 - 33567 "TXT IN _grpc_config.localhost.argocd.svc.cluster.local. udp 76 false 1232" NXDOMAIN qr,aa,rd 158 0.001575781s
[INFO] 10.244.0.19:39545 - 41700 "TXT IN _grpc_config.localhost.svc.cluster.local. udp 69 false 1232" NXDOMAIN qr,aa,rd 151 0.000331793s
[INFO] 10.244.0.19:37226 - 53167 "TXT IN _grpc_config.localhost.cluster.local. udp 65 false 1232" NXDOMAIN qr,aa,rd 147 0.000416459s
[INFO] 10.244.0.19:36128 - 42509 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 0.259027525s
[INFO] 10.244.0.14:41225 - 9375 "AAAA IN argocd-redis.argocd.svc.cluster.local. udp 66 false 1232" NOERROR qr,aa,rd 148 0.002731714s
[INFO] 10.244.0.14:45168 - 22958 "A IN argocd-redis.argocd.svc.cluster.local. udp 66 false 1232" NOERROR qr,aa,rd 108 0.00075717s
[INFO] 10.244.0.20:60356 - 8256 "A IN argocd-redis.argocd.svc.cluster.local. udp 66 false 1232" NOERROR qr,aa,rd 108 0.000611511s
[INFO] 10.244.0.20:44402 - 6445 "AAAA IN argocd-redis.argocd.svc.cluster.local. udp 66 false 1232" NOERROR qr,aa,rd 148 0.000803419s
[INFO] 10.244.0.19:58439 - 22723 "TXT IN _grpc_config.localhost.argocd.svc.cluster.local. udp 76 false 1232" NXDOMAIN qr,aa,rd 158 0.000214273s
[INFO] 10.244.0.19:38728 - 38820 "TXT IN _grpc_config.localhost.svc.cluster.local. udp 69 false 1232" NXDOMAIN qr,aa,rd 151 0.000202758s
[INFO] 10.244.0.19:40932 - 40999 "TXT IN _grpc_config.localhost.cluster.local. udp 65 false 1232" NXDOMAIN qr,aa,rd 147 0.000185767s
[INFO] 10.244.0.19:52013 - 26780 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 0.183003448s
[INFO] 10.244.0.19:54969 - 43840 "TXT IN _grpc_config.localhost.argocd.svc.cluster.local. udp 76 false 1232" NXDOMAIN qr,aa,rd 158 0.00024347s
[INFO] 10.244.0.19:52106 - 58591 "TXT IN _grpc_config.localhost.svc.cluster.local. udp 69 false 1232" NXDOMAIN qr,aa,rd 151 0.000175752s
[INFO] 10.244.0.19:41789 - 25901 "TXT IN _grpc_config.localhost.cluster.local. udp 65 false 1232" NXDOMAIN qr,aa,rd 147 0.000172507s
[INFO] 10.244.0.19:44068 - 43266 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 0.167752773s
[INFO] 10.244.0.19:53304 - 38030 "TXT IN _grpc_config.localhost.argocd.svc.cluster.local. udp 76 false 1232" NXDOMAIN qr,aa,rd 158 0.000444871s
[INFO] 10.244.0.19:50850 - 62749 "TXT IN _grpc_config.localhost.svc.cluster.local. udp 69 false 1232" NXDOMAIN qr,aa,rd 151 0.000637866s
[INFO] 10.244.0.19:58827 - 3621 "TXT IN _grpc_config.localhost.cluster.local. udp 65 false 1232" NXDOMAIN qr,aa,rd 147 0.000678385s
[INFO] 10.244.0.19:43485 - 45002 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 0.326635532s
[INFO] 10.244.0.19:41571 - 60113 "TXT IN _grpc_config.localhost.argocd.svc.cluster.local. udp 76 false 1232" NXDOMAIN qr,aa,rd 158 0.000295694s
[INFO] 10.244.0.19:53885 - 5443 "TXT IN _grpc_config.localhost.svc.cluster.local. udp 69 false 1232" NXDOMAIN qr,aa,rd 151 0.000256691s
[INFO] 10.244.0.19:45356 - 29038 "TXT IN _grpc_config.localhost.cluster.local. udp 65 false 1232" NXDOMAIN qr,aa,rd 147 0.000247352s
[INFO] 10.244.0.19:42983 - 28334 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 0.270099974s
[INFO] 10.244.0.19:53543 - 34499 "TXT IN _grpc_config.localhost.argocd.svc.cluster.local. udp 76 false 1232" NXDOMAIN qr,aa,rd 158 0.000333177s
[INFO] 10.244.0.19:45196 - 51340 "TXT IN _grpc_config.localhost.svc.cluster.local. udp 69 false 1232" NXDOMAIN qr,aa,rd 151 0.000311199s
[INFO] 10.244.0.19:54439 - 57868 "TXT IN _grpc_config.localhost.cluster.local. udp 65 false 1232" NXDOMAIN qr,aa,rd 147 0.000342103s
[INFO] 10.244.0.19:50619 - 48267 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 0.166586875s
[INFO] 10.244.0.19:50800 - 10324 "TXT IN _grpc_config.localhost.argocd.svc.cluster.local. udp 76 false 1232" NXDOMAIN qr,aa,rd 158 0.000243526s
[INFO] 10.244.0.19:58850 - 9381 "TXT IN _grpc_config.localhost.svc.cluster.local. udp 69 false 1232" NXDOMAIN qr,aa,rd 151 0.000191514s
[INFO] 10.244.0.19:41839 - 63359 "TXT IN _grpc_config.localhost.cluster.local. udp 65 false 1232" NXDOMAIN qr,aa,rd 147 0.00027106s
[INFO] 10.244.0.19:40405 - 8797 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 0.165997386s
[INFO] 10.244.0.19:60524 - 58161 "TXT IN _grpc_config.localhost.argocd.svc.cluster.local. udp 76 false 1232" NXDOMAIN qr,aa,rd 158 0.000320914s
[INFO] 10.244.0.19:46231 - 33442 "TXT IN _grpc_config.localhost.svc.cluster.local. udp 69 false 1232" NXDOMAIN qr,aa,rd 151 0.000273785s
[INFO] 10.244.0.19:44959 - 49409 "TXT IN _grpc_config.localhost.cluster.local. udp 65 false 1232" NXDOMAIN qr,aa,rd 147 0.00025411s
[INFO] 10.244.0.19:35150 - 26766 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 0.11738592s
[INFO] 10.244.0.19:43940 - 26588 "TXT IN _grpc_config.localhost.argocd.svc.cluster.local. udp 76 false 1232" NXDOMAIN qr,aa,rd 158 0.000350582s
[INFO] 10.244.0.19:43862 - 20535 "TXT IN _grpc_config.localhost.svc.cluster.local. udp 69 false 1232" NXDOMAIN qr,aa,rd 151 0.000377026s
[INFO] 10.244.0.19:56003 - 15638 "TXT IN _grpc_config.localhost.cluster.local. udp 65 false 1232" NXDOMAIN qr,aa,rd 147 0.000204286s
[INFO] 10.244.0.19:51438 - 19964 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 0.230035525s
[INFO] 10.244.0.19:57259 - 16635 "TXT IN _grpc_config.localhost.argocd.svc.cluster.local. udp 76 false 1232" NXDOMAIN qr,aa,rd 158 0.000361224s
[INFO] 10.244.0.19:49138 - 22223 "TXT IN _grpc_config.localhost.svc.cluster.local. udp 69 false 1232" NXDOMAIN qr,aa,rd 151 0.000339004s
